position,country,confederation,squad number,average age,ranking points,precio,wins,draws,losses,total_matches,percentage
1,Argentina,CONMEBOL,25,28.3,1901,802000000,286,112,89,487,58.72689938398358
2,France,UEFA,24,26.5,1855,1230000000,227,87,79,393,57.76081424936387
3,Spain,UEFA,26,27.3,1836,1040000000,260,83,69,412,63.10679611650486
4,England,UEFA,26,26.2,1812,1520000000,214,96,59,369,57.994579945799465
5,Brazil,CONMEBOL,26,25.9,1786,1270000000,312,105,91,508,61.417322834645674
6,Belgium,UEFA,24,26.5,1772,583000000,193,69,100,362,53.31491712707182
7,Netherlands,UEFA,26,26.4,1759,820000000,240,72,79,391,61.38107416879796
8,Portugal,UEFA,26,27.1,1741,1060000000,213,85,81,379,56.200527704485495
9,Colombia,CONMEBOL,26,28.3,1727,282900000,140,92,127,359,38.99721448467967
10,Italy,UEFA,26,26.6,1714,725500000,240,113,62,415,57.831325301204814
11,Uruguay,CONMEBOL,26,26.3,1713,480100000,241,102,135,478,50.418410041841
12,Croatia,UEFA,26,27.8,1701,327700000,123,57,45,225,54.666666666666664
13,Germany,UEFA,24,28.3,1686,823000000,270,85,60,415,65.06024096385542
14,Morocco,CAF,27,26.0,1669,400550000,152,92,73,317,47.94952681388013
15,Switzerland,UEFA,25,27.6,1654,291000000,146,90,103,339,43.067846607669615
16,USA,CONCACAF,26,25.2,1642,345600000,188,62,97,347,54.17867435158501
17,Mexico,CONCACAF,26,25.8,1635,204500000,265,100,113,478,55.43933054393305
18,Japan,AFC,26,26.4,1629,289980000,178,57,88,323,55.10835913312694
19,Senegal,CAF,29,25.9,1623,254400000,135,74,70,279,48.38709677419355
20,Iran,AFC,26,26.9,1611,45400000,209,75,54,338,61.834319526627226
21,Denmark,UEFA,26,27.9,1608,415500000,161,81,103,345,46.666666666666664
22,Austria,UEFA,26,27.0,1592,237000000,144,57,110,311,46.30225080385852
23,South Korea,AFC,23,28.0,1573,130050000,207,87,84,378,54.761904761904766
24,Australia,AFC,25,27.0,1571,38830000,151,54,56,261,57.8544061302682
25,Ukraine,UEFA,26,26.4,1567,379000000,87,51,49,187,46.524064171122994
26,Türkiye,UEFA,26,25.9,1534,352900000,129,66,128,323,39.93808049535604
27,Ecuador,CONMEBOL,26,25.7,1530,225550000,80,71,163,314,25.477707006369428
28,Poland,UEFA,26,28.0,1524,210300000,146,72,101,319,45.76802507836991
29,Sweden,UEFA,26,25.9,1522,304350000,184,72,105,361,50.96952908587258
30,Wales,UEFA,22,24.6,1521,113080000,105,61,117,283,37.102473498233216
31,Hungary,UEFA,26,27.5,1519,165450000,154,68,115,337,45.6973293768546
32,Serbia,UEFA,25,27.1,1507,309900000,86,49,42,177,48.58757062146893
33,Russia,UEFA,24,25.5,1507,142000000,198,73,78,349,56.73352435530086
34,Qatar,AFC,29,22.3,1504,6000000,113,51,76,240,47.083333333333336
35,Panama,CONCACAF,26,27.1,1503,24350000,77,52,93,222,34.68468468468468
36,Egypt,CAF,26,28.3,1502,102700000,188,78,86,352,53.40909090909091
37,Venezuela,CONMEBOL,26,27.3,1501,67600000,44,47,158,249,17.670682730923694
38,Ivory Coast,CAF,25,25.8,1500,289250000,177,80,69,326,54.29447852760736
39,Nigeria,CAF,23,25.2,1499,252500000,185,99,73,357,51.820728291316534
40,Canada,CONCACAF,26,25.4,1495,181000000,100,58,71,229,43.66812227074236
41,Tunisia,CAF,26,26.8,1494,56900000,148,94,84,326,45.39877300613497
42,Peru,CONMEBOL,27,29.3,1490,33580000,120,93,176,389,30.848329048843187
43,Chile,CONMEBOL,25,28.8,1490,79050000,163,87,181,431,37.81902552204176
44,Slovakia,UEFA,26,27.4,1479,158400000,83,37,65,185,44.86486486486487
45,Romania,UEFA,26,27.2,1475,95530000,158,87,89,334,47.30538922155689
46,Algeria,CAF,25,27.2,1474,184850000,155,85,89,329,47.11246200607903
47,Czechia,UEFA,26,25.5,1473,187900000,117,37,60,214,54.67289719626168
48,Scotland,UEFA,26,28.4,1472,207400000,146,70,98,314,46.496815286624205
49,Costa Rica,CONCACAF,26,24.8,1470,21930000,167,86,107,360,46.38888888888889
50,Norway,UEFA,23,25.0,1466,481600000,112,67,119,298,37.58389261744966
51,Greece,UEFA,26,26.6,1456,134900000,135,69,109,313,43.13099041533546
52,Costa Rica,CONCACAF,26,24.8,1454,21930000,167,86,107,360,46.38888888888889
53,Jamaica,CONCACAF,26,26.4,1443,94580000,85,54,94,233,36.48068669527897
54,Venezuela,CONMEBOL,26,27.3,1442,67600000,44,47,158,249,17.670682730923694
55,Iraq,AFC,26,25.4,1433,10580000,118,51,64,233,50.64377682403433
56,Saudi Arabia,AFC,27,26.9,1431,30900000,153,60,67,280,54.64285714285714
57,Slovenia,UEFA,26,27.4,1430,148250000,71,49,69,189,37.56613756613756
58,Paraguay,CONMEBOL,26,28.2,1427,134350000,142,94,151,387,36.69250645994832
59,South Africa,CAF,23,27.6,1417,37280000,83,63,49,195,42.56410256410256
60,Ireland,UEFA,26,26.3,1404,106500000,123,103,105,331,37.160120845921455
61,DR Congo,CAF,25,27.1,1401,115600000,125,83,95,303,41.254125412541256
62,Uzbekistan,AFC,23,26.4,1397,33450000,104,35,46,185,56.21621621621622
63,Finland,UEFA,25,26.3,1393,27680000,86,52,147,285,30.175438596491226
64,Ghana,CAF,25,24.6,1381,214550000,159,76,80,315,50.476190476190474
65,Cape Verde,CAF,30,27.4,1381,35880000,49,25,45,119,41.17647058823529
66,Albania,UEFA,26,27.4,1379,113100000,53,45,145,243,21.810699588477366
67,Burkina Faso,CAF,23,24.9,1375,92150000,76,53,78,207,36.71497584541063
68,Jordan,AFC,25,27.8,1374,17180000,72,40,49,161,44.72049689440994
69,U. A. E.,AFC,29,24.7,1369,39450000,104,46,74,224,46.42857142857143
70,Iceland,UEFA,23,25.0,1353,49750000,67,48,143,258,25.968992248062015
71,North Macedonia,UEFA,26,26.9,1349,43050000,48,37,86,171,28.07017543859649
72,Montenegro,UEFA,25,28.5,1345,25200000,30,26,37,93,32.25806451612903
73,N. Ireland,UEFA,23,24.4,1341,50980000,96,74,132,302,31.788079470198678
74,Georgia,UEFA,26,26.9,1339,185100000,45,37,84,166,27.10843373493976
75,Bosnia,UEFA,23,26.6,1332,96600000,65,31,65,161,40.37267080745342
76,Oman,AFC,25,28.2,1326,8300000,77,36,54,167,46.10778443113773
77,Guinea,CAF,23,25.2,1325,69530000,113,69,86,268,42.16417910447761
78,Israel,UEFA,24,27.1,1313,22250000,102,60,97,259,39.38223938223938
79,Honduras,CONCACAF,29,27.2,1311,18050000,115,67,108,290,39.6551724137931
80,Bahrain,AFC,24,28.8,1303,9200000,75,45,67,187,40.106951871657756
81,El Salvador,CONCACAF,24,26.0,1302,4750000,104,51,105,260,40.0
82,Bulgaria,UEFA,24,26.3,1296,30250000,122,79,119,320,38.125
83,Gabon,CAF,28,25.9,1288,20300000,69,46,65,180,38.333333333333336
84,Luxembourg,UEFA,23,25.4,1277,12800000,30,27,233,290,10.344827586206897
85,Haiti,CONCACAF,24,25.0,1274,15750000,76,35,70,181,41.988950276243095
